timestep,seed_ratio,claim_step,replicate,support_ratio
5,0.05,-1,29,0.10497796569108758
6,0.05,-1,29,0.11562220611066086
7,0.05,-1,29,0.12119383399953539
8,0.05,-1,29,0.1206464900057979
9,0.05,-1,29,0.13977586178296053
10,0.05,-1,29,0.14014899275049708
11,0.05,-1,29,0.14405163358942466
12,0.05,-1,29,0.15058288355096183
1,0.15,-1,0,0.06707829577386615
2,0.15,-1,0,0.07785409565362554
3,0.15,-1,0,0.10492103196877955
4,0.15,-1,0,0.1063444746348615
5,0.15,-1,0,0.13474204608205684
6,0.15,-1,0,0.15219879829921437
7,0.15,-1,0,0.16399328258113047
8,0.15,-1,0,0.17566093558506932
9,0.15,-1,0,0.19456436804654043
10,0.15,-1,0,0.21908543125606825
11,0.15,-1,0,0.2482689395966794
12,0.15,-1,0,0.28128414656083023
1,0.15,-1,1,0.05815152102082263
2,0.15,-1,1,0.07358951707312136
3,0.15,-1,1,0.09683296619894931
4,0.15,-1,1,0.12056070662975231
5,0.15,-1,1,0.1469542663107319
6,0.15,-1,1,0.17744975740304403
7,0.15,-1,1,0.2156599351773596
8,0.15,-1,1,0.23654699490938202
9,0.15,-1,1,0.25758236928237316
10,0.15,-1,1,0.2907081029533406
11,0.15,-1,1,0.3307205248156488
12,0.15,-1,1,0.3695427527850371
1,0.15,-1,2,0.07969099828276749
2,0.15,-1,2,0.08424960975713518
3,0.15,-1,2,0.10951214121367797
4,0.15,-1,2,0.14372147874637892
5,0.15,-1,2,0.16135259410447347
6,0.15,-1,2,0.2045975826635774
7,0.15,-1,2,0.23730915912477485
8,0.15,-1,2,0.2713963108293186
9,0.15,-1,2,0.32293884423207275
10,0.15,-1,2,0.3423824284301042
11,0.15,-1,2,0.3702690972067706
12,0.15,-1,2,0.39060236919471175
1,0.15,-1,3,0.09983565330314477
2,0.15,-1,3,0.12449066667814274
3,0.15,-1,3,0.13866028734057498
4,0.15,-1,3,0.17367834869930227
5,0.15,-1,3,0.2069906488677644
6,0.15,-1,3,0.22834773083366372
7,0.15,-1,3,0.2749261245744059
8,0.15,-1,3,0.31487275771428475
9,0.15,-1,3,0.3347005114895634
10,0.15,-1,3,0.3689707772844836
11,0.15,-1,3,0.4307121424806682
12,0.15,-1,3,0.44241737989366314
1,0.15,-1,4,0.08728319185178607
2,0.15,-1,4,0.087135782349883
3,0.15,-1,4,0.1004816149054351
4,0.15,-1,4,0.11340590071729907
5,0.15,-1,4,0.128934204636836
6,0.15,-1,4,0.1591393903663903
7,0.15,-1,4,0.20094069627988223
8,0.15,-1,4,0.20894337159774953
9,0.15,-1,4,0.2241360078990511
10,0.15,-1,4,0.26935070364811364
11,0.15,-1,4,0.3072367335449987
12,0.15,-1,4,0.3526280324626496
1,0.15,-1,5,0.06418528033028169
2,0.15,-1,5,0.07813971907908297
3,0.15,-1,5,0.11917401805118183
4,0.15,-1,5,0.15126490340800527
5,0.15,-1,5,0.1608230534825675
6,0.15,-1,5,0.15852579528576222
7,0.15,-1,5,0.16687243079006106
8,0.15,-1,5,0.18987857073742273
9,0.15,-1,5,0.2156717134447688
10,0.15,-1,5,0.24885344923292285
11,0.15,-1,5,0.2882674554560909
12,0.15,-1,5,0.34619522694343613
1,0.15,-1,6,0.07609803154778405
2,0.15,-1,6,0.062191764859251444
3,0.15,-1,6,0.07159295238852112
4,0.15,-1,6,0.08058964142478607
5,0.15,-1,6,0.10339527404409746
6,0.15,-1,6,0.13318039485851724
7,0.15,-1,6,0.17179577108940117
8,0.15,-1,6,0.1943381140026834
9,0.15,-1,6,0.244699011214436
10,0.15,-1,6,0.2570415493917152
11,0.15,-1,6,0.2795883025285926
12,0.15,-1,6,0.30385539915684817
1,0.15,-1,7,0.08197475687584474
2,0.15,-1,7,0.10353768847279934
3,0.15,-1,7,0.11424089631793184
4,0.15,-1,7,0.12599211530606796
5,0.15,-1,7,0.1449922812222203
6,0.15,-1,7,0.16161415806082055
7,0.15,-1,7,0.183751570431079
8,0.15,-1,7,0.20980807840074522
9,0.15,-1,7,0.24765984954912484
10,0.15,-1,7,0.2631809234327727
11,0.15,-1,7,0.283180160088197
12,0.15,-1,7,0.31922045061976306
1,0.15,-1,8,0.06356177110080848
2,0.15,-1,8,0.06985872537673242
3,0.15,-1,8,0.10240673152708388
4,0.15,-1,8,0.12238791729750632
5,0.15,-1,8,0.15582951365816713
6,0.15,-1,8,0.18114260701627477
7,0.15,-1,8,0.2282211197895306
8,0.15,-1,8,0.2550662371630727
9,0.15,-1,8,0.28627947788796304
10,0.15,-1,8,0.3204379067707185
11,0.15,-1,8,0.3405472825492307
12,0.15,-1,8,0.3752703994799173
1,0.15,-1,9,0.06328203139272816
2,0.15,-1,9,0.08583992094526649
3,0.15,-1,9,0.10117924314148233
4,0.15,-1,9,0.09588172205455789
5,0.15,-1,9,0.10971672725053894
6,0.15,-1,9,0.12744856559712517
7,0.15,-1,9,0.15626754894021838
8,0.15,-1,9,0.18600472753320932
9,0.15,-1,9,0.21018643798929607
10,0.15,-1,9,0.23591460871436573
11,0.15,-1,9,0.2724220067686064
12,0.15,-1,9,0.3124897335200511
1,0.15,-1,10,0.07962400307013907
2,0.15,-1,10,0.09315001131943149
3,0.15,-1,10,0.10035851626717948
4,0.15,-1,10,0.11510129765286568
5,0.15,-1,10,0.13021383076936702
6,0.15,-1,10,0.15057442917681896
7,0.15,-1,10,0.18319646170470927
8,0.15,-1,10,0.2291083823767102
9,0.15,-1,10,0.2616575950745215
10,0.15,-1,10,0.28940089824996684
